entityRef,entityRefName,entityID
http://www.reactome.org/biopax/95/48887#ProteinReference8107,UniProt:P30622 CLIP1,P30622
http://www.reactome.org/biopax/95/48887#ProteinReference8642,UniProt:Q6SWD1 RL11,Q6SWD1
http://www.reactome.org/biopax/95/48887#ProteinReference8642,RL11,Q6SWD1
http://www.reactome.org/biopax/95/48887#ProteinReference11987,OR6T1,Q8NGN1
http://www.reactome.org/biopax/95/48887#ProteinReference11987,UniProt:Q8NGN1 OR6T1,Q8NGN1
http://www.reactome.org/biopax/95/48887#ProteinReference4751,US11,P09727
http://www.reactome.org/biopax/95/48887#ProteinReference4751,UniProt:P09727 US11,P09727
http://www.reactome.org/biopax/95/48887#ProteinReference4224,DCTN1,Q14203
http://www.reactome.org/biopax/95/48887#ProteinReference4224,UniProt:Q14203 DCTN1,Q14203
http://www.reactome.org/biopax/95/48887#ProteinReference54,UniProt:Q99942 RNF5,Q99942
http://www.reactome.org/biopax/95/48887#ProteinReference54,RNF5,Q99942
http://www.reactome.org/biopax/95/48887#ProteinReference54,NG2,Q99942
http://www.reactome.org/biopax/95/48887#ProteinReference54,RMA1,Q99942
http://www.reactome.org/biopax/95/48887#ProteinReference54,G16,Q99942
http://www.reactome.org/biopax/95/48887#ProteinReference10210,UniProt:Q6P3V2 ZNF585A,Q6P3V2
http://www.reactome.org/biopax/95/48887#ProteinReference10210,ZNF585A,Q6P3V2
http://www.reactome.org/biopax/95/48887#ProteinReference883,UniProt:O43286 B4GALT5,O43286
http://www.reactome.org/biopax/95/48887#ProteinReference883,B4GALT5,O43286
http://www.reactome.org/biopax/95/48887#ProteinReference7568,CSNK1A1,P48729
http://www.reactome.org/biopax/95/48887#ProteinReference7568,UniProt:P48729 CSNK1A1,P48729
http://www.reactome.org/biopax/95/48887#ProteinReference1451,LYPLA3,Q8NCC3
http://www.reactome.org/biopax/95/48887#ProteinReference1451,UniProt:Q8NCC3 PLA2G15,Q8NCC3
http://www.reactome.org/biopax/95/48887#ProteinReference1451,UNQ341/PRO540,Q8NCC3
http://www.reactome.org/biopax/95/48887#ProteinReference1451,PLA2G15,Q8NCC3
http://www.reactome.org/biopax/95/48887#ProteinReference9085,PRMT7,Q9NVM4
http://www.reactome.org/biopax/95/48887#ProteinReference9085,KIAA1933,Q9NVM4
http://www.reactome.org/biopax/95/48887#ProteinReference9085,UniProt:Q9NVM4 PRMT7,Q9NVM4
http://www.reactome.org/biopax/95/48887#ProteinReference6435,RNF55,P22681
http://www.reactome.org/biopax/95/48887#ProteinReference6435,CBL,P22681
http://www.reactome.org/biopax/95/48887#ProteinReference6435,CBL2,P22681
http://www.reactome.org/biopax/95/48887#ProteinReference6435,UniProt:P22681 CBL,P22681
http://www.reactome.org/biopax/95/48887#ProteinReference2425,SUOX,P51687
http://www.reactome.org/biopax/95/48887#ProteinReference2425,UniProt:P51687 SUOX,P51687
http://www.reactome.org/biopax/95/48887#ProteinReference8049,KIAA0929,Q96T58
http://www.reactome.org/biopax/95/48887#ProteinReference8049,SPEN,Q96T58
http://www.reactome.org/biopax/95/48887#ProteinReference8049,MINT,Q96T58
http://www.reactome.org/biopax/95/48887#ProteinReference8049,SHARP,Q96T58
http://www.reactome.org/biopax/95/48887#ProteinReference8049,UniProt:Q96T58 SPEN,Q96T58
