entityRef,entityRefName
reactome:ProteinReference8040,UniProt:Q7Z7B0 FILIP1
reactome:ProteinReference8040,KIAA1275
reactome:ProteinReference8040,FILIP1
reactome:ProteinReference6347,UniProt:P68402 PAFAH1B2
reactome:ProteinReference6347,PAFAH1B2
reactome:ProteinReference6347,PAFAHB
reactome:ProteinReference1484,UniProt:P61204 ARF3
reactome:ProteinReference1484,ARF3
reactome:ProteinReference457,UniProt:P59646 FXYD4
reactome:ProteinReference457,UNQ526/PRO1069
reactome:ProteinReference457,FXYD4
reactome:ProteinReference5906,UniProt:Q8IWA4 MFN1
reactome:ProteinReference5906,MFN1
reactome:ProteinReference46,SPFH1
reactome:ProteinReference46,KEO4
reactome:ProteinReference46,ERLIN1
reactome:ProteinReference46,C10orf69
reactome:ProteinReference46,KE04
reactome:ProteinReference46,UniProt:O75477 ERLIN1
reactome:ProteinReference5410,UniProt:Q9GZN2 TGIF2
reactome:ProteinReference5410,TGIF2
reactome:ProteinReference8070,FALDH
reactome:ProteinReference8070,ALDH3A2
reactome:ProteinReference8070,ALDH10
reactome:ProteinReference8070,UniProt:P51648 ALDH3A2
reactome:ProteinReference4184,PP6R3
reactome:ProteinReference4184,SAPL
reactome:ProteinReference4184,UniProt:Q5H9R7 PPP6R3
reactome:ProteinReference4184,KIAA1558
reactome:ProteinReference4184,SAPS3
reactome:ProteinReference4184,C11orf23
reactome:ProteinReference4184,PPP6R3
reactome:ProteinReference6769,JUNB
reactome:ProteinReference6769,UniProt:P17275 JUNB
reactome:ProteinReference11029,UniProt:P35680 HNF1B
reactome:ProteinReference11029,HNF1B
reactome:ProteinReference11029,TCF2
reactome:ProteinReference3722,HSD25
reactome:ProteinReference3722,SSR2
reactome:ProteinReference3722,UniProt:P43308 SSR2
reactome:ProteinReference3722,TRAPB
reactome:ProteinReference8581,UniProt:P49917 LIG4
reactome:ProteinReference8581,LIG4
reactome:ProteinReference7136,NPS
reactome:ProteinReference7136,UniProt:P0C0P6 NPS
reactome:ProteinReference8857,RBBP1
reactome:ProteinReference8857,ARID4A
reactome:ProteinReference8857,RBP1
reactome:ProteinReference8857,UniProt:P29374 ARID4A
reactome:ProteinReference4789,RAB8
reactome:ProteinReference4789,RAB8A
reactome:ProteinReference4789,MEL
reactome:ProteinReference4789,UniProt:P61006 RAB8A
reactome:ProteinReference6400,UniProt:P09497 CLTB
reactome:ProteinReference6400,CLTB
reactome:ProteinReference10689,UniProt:Q5XKP0 MICOS13
reactome:ProteinReference10689,MIC13
reactome:ProteinReference10689,MICOS13
reactome:ProteinReference10689,QIL1
reactome:ProteinReference10689,C19orf70
reactome:ProteinReference4687,OTUD7A
reactome:ProteinReference4687,UniProt:Q8TE49 OTUD7A
reactome:ProteinReference4687,OTUD7
reactome:ProteinReference4687,CEZANNE2
reactome:ProteinReference4687,C15orf16
reactome:ProteinReference872,ATPSK2
reactome:ProteinReference872,PAPSS2
reactome:ProteinReference872,UniProt:O95340 PAPSS2
reactome:ProteinReference9939,OCLN
reactome:ProteinReference9939,UniProt:Q16625 OCLN
reactome:ProteinReference5725,CXCL4V1
reactome:ProteinReference5725,PF4V1
reactome:ProteinReference5725,SCYB4V1
reactome:ProteinReference5725,UniProt:P10720 PF4V1
reactome:ProteinReference5088,NUCB1
reactome:ProteinReference5088,NUC
reactome:ProteinReference5088,UniProt:Q02818 NUCB1
reactome:ProteinReference10684,UniProt:Q5SV97 PERM1
reactome:ProteinReference10684,PERM1
reactome:ProteinReference10684,C1orf170
reactome:ProteinReference7357,MGLUR1
reactome:ProteinReference7357,UniProt:Q13255 GRM1
reactome:ProteinReference7357,GPRC1A
reactome:ProteinReference7357,GRM1
reactome:ProteinReference7393,UniProt:P59551 TAS2R60
reactome:ProteinReference7393,TAS2R60
reactome:ProteinReference8484,JW4249
reactome:ProteinReference8484,fecC
reactome:ProteinReference8484,UniProt:P15030 fecC
reactome:ProteinReference8484,b4289
reactome:ProteinReference3091,KPNB2
reactome:ProteinReference3091,TRN
reactome:ProteinReference3091,TNPO1
reactome:ProteinReference3091,MIP1
reactome:ProteinReference3091,UniProt:Q92973 TNPO1
reactome:ProteinReference9087,PADI5
reactome:ProteinReference9087,PDI5
reactome:ProteinReference9087,PAD4
reactome:ProteinReference9087,PADI4
reactome:ProteinReference9087,UniProt:Q9UM07 PADI4
reactome:ProteinReference7675,KIAA1336
reactome:ProteinReference7675,WDR35
reactome:ProteinReference7675,IFT121
reactome:ProteinReference7675,UniProt:Q9P2L0 WDR35
reactome:ProteinReference418,ATP6V1G3
reactome:ProteinReference418,UniProt:Q96LB4 ATP6V1G3
reactome:ProteinReference418,ATP6G3
reactome:ProteinReference5521,UniProt:Q6UWL6 KIRREL2
reactome:ProteinReference5521,NEPH3
reactome:ProteinReference5521,UNQ5827/PRO19646
reactome:ProteinReference5521,KIRREL2
reactome:ProteinReference6820,VEGFR1
reactome:ProteinReference6820,FLT
reactome:ProteinReference6820,FRT
reactome:ProteinReference6820,FLT1
reactome:ProteinReference6820,UniProt:P17948 FLT1
reactome:ProteinReference9914,UniProt:P43146 DCC
reactome:ProteinReference9914,IGDCC1
reactome:ProteinReference9914,DCC
reactome:ProteinReference2286,UniProt:O95237 LRAT
reactome:ProteinReference2286,LRAT
reactome:ProteinReference2540,GLDC
reactome:ProteinReference2540,GCSP
reactome:ProteinReference2540,UniProt:P23378 GLDC
reactome:ProteinReference4232,CAPZB
reactome:ProteinReference4232,UniProt:P47756 CAPZB
reactome:ProteinReference7811,UniProt:Q9UJF2 RASAL2
reactome:ProteinReference7811,RASAL2
reactome:ProteinReference7811,NGAP
reactome:ProteinReference1875,UniProt:Q96I99 SUCLG2
reactome:ProteinReference1875,SUCLG2
reactome:ProteinReference10126,ZNF383
reactome:ProteinReference10126,UniProt:Q8NA42 ZNF383
reactome:ProteinReference10126,HSD17
reactome:ProteinReference495,ASIC4
reactome:ProteinReference495,ACCN4
reactome:ProteinReference495,UniProt:Q96FT7 ASIC4
reactome:ProteinReference12029,OR8U9
reactome:ProteinReference12029,UniProt:P0C7N5 OR8U9
reactome:ProteinReference8498,p2146_00141
reactome:ProteinReference8498,D647_p47096
reactome:ProteinReference8498,pNDM10469_135
reactome:ProteinReference8498,UniProt:G9FJS9 rmtC
reactome:ProteinReference8498,rmtC
reactome:ProteinReference3719,DDOST
reactome:ProteinReference3719,KIAA0115
reactome:ProteinReference3719,OST48
reactome:ProteinReference3719,OK/SW-cl.45
reactome:ProteinReference3719,UniProt:P39656 DDOST
reactome:ProteinReference5081,UniProt:Q86UP2 KTN1
reactome:ProteinReference5081,CG1
reactome:ProteinReference5081,KIAA0004
reactome:ProteinReference5081,KTN1
reactome:ProteinReference7679,UniProt:Q4KMG0 CDON
reactome:ProteinReference7679,CDON
reactome:ProteinReference7679,CDO
reactome:ProteinReference11790,UniProt:Q8NHB1 OR2V1
reactome:ProteinReference11790,OR2V1
reactome:ProteinReference7742,UniProt:P49354 FNTA
reactome:ProteinReference7742,FNTA
reactome:ProteinReference10525,NFIB
reactome:ProteinReference10525,UniProt:O00712 NFIB
reactome:ProteinReference3650,KDR
reactome:ProteinReference3650,UniProt:P35968 KDR
reactome:ProteinReference3650,FLK1
reactome:ProteinReference3650,VEGFR2
reactome:ProteinReference410,UniProt:P21281 ATP6V1B2
reactome:ProteinReference410,ATP6B2
reactome:ProteinReference410,VPP3
reactome:ProteinReference410,ATP6V1B2
reactome:ProteinReference9675,CDK13
reactome:ProteinReference9675,UniProt:Q14004 CDK13
reactome:ProteinReference9675,CHED
reactome:ProteinReference9675,CDC2L
reactome:ProteinReference9675,KIAA1791
reactome:ProteinReference9675,CDC2L5
reactome:ProteinReference10040,UniProt:Q9UJW8 ZNF180
reactome:ProteinReference10040,ZNF180
reactome:ProteinReference5364,CDH11
reactome:ProteinReference5364,UniProt:P55287 CDH11
reactome:ProteinReference6791,BDNF
reactome:ProteinReference6791,UniProt:P23560 BDNF
reactome:ProteinReference2738,GSTM5
reactome:ProteinReference2738,UniProt:P46439 GSTM5
reactome:ProteinReference10609,MBD4
reactome:ProteinReference10609,UniProt:O95243 MBD4
reactome:ProteinReference10609,MED1
reactome:ProteinReference8058,TTF
reactome:ProteinReference8058,UniProt:Q15669 RHOH
reactome:ProteinReference8058,RHOH
reactome:ProteinReference8058,ARHH
reactome:ProteinReference10534,UniProt:Q7Z5W3 BCDIN3D
reactome:ProteinReference10534,BCDIN3D
reactome:ProteinReference3641,UniProt:P32942 ICAM3
reactome:ProteinReference3641,ICAM3
reactome:ProteinReference8596,TAFII43
reactome:ProteinReference8596,TBN
reactome:ProteinReference8596,UniProt:Q7Z7C8 TAF8
reactome:ProteinReference8596,TAF8
reactome:ProteinReference3615,NCL3
reactome:ProteinReference3615,CAPN5
reactome:ProteinReference3615,UniProt:O15484 CAPN5
reactome:ProteinReference8526,JW3504
reactome:ProteinReference8526,UniProt:P37657 bcsE
reactome:ProteinReference8526,b3536
reactome:ProteinReference8526,bcsE
reactome:ProteinReference8526,yhjS
reactome:ProteinReference42,UniProt:P20042 EIF2S2
reactome:ProteinReference42,EIF2B
reactome:ProteinReference42,EIF2S2
reactome:ProteinReference3291,GITA
reactome:ProteinReference3291,KIAA1767
reactome:ProteinReference3291,UniProt:Q6YHU6 THADA
reactome:ProteinReference3291,THADA
reactome:ProteinReference7326,UniProt:Q14623 IHH
reactome:ProteinReference7326,IHH
reactome:ProteinReference11291,UniProt:P33991 MCM4
reactome:ProteinReference11291,CDC21
reactome:ProteinReference11291,MCM4
reactome:ProteinReference723,UniProt:P54840 GYS2
reactome:ProteinReference723,GYS2
reactome:ProteinReference7342,UniProt:Q93097 WNT2B
reactome:ProteinReference7342,WNT2B
reactome:ProteinReference7342,WNT13
reactome:ProteinReference7970,UniProt:Q13576 IQGAP2
reactome:ProteinReference7970,IQGAP2
reactome:ProteinReference4193,UniProt:P18085 ARF4
reactome:ProteinReference4193,ARF2
reactome:ProteinReference4193,ARF4
reactome:ProteinReference12047,UniProt:P10745 RBP3
reactome:ProteinReference12047,RBP3
reactome:ProteinReference1795,UniProt:Q15878 CACNA1E
reactome:ProteinReference1795,CACH6
reactome:ProteinReference1795,CACNL1A6
reactome:ProteinReference1795,CACNA1E
reactome:ProteinReference8934,UniProt:O00571 DDX3X
