entity,id
http://smpdb.ca/pathways/#Protein/7758_Cytosol,
http://smpdb.ca/pathways/#Protein/16942_Mitochondrion,Q6P782
http://smpdb.ca/pathways/#Protein/16825_Cytosol,Q9GPZ5
http://smpdb.ca/pathways/#Protein/3717_Cytosol,Q13153
http://smpdb.ca/pathways/#Protein/22113_Membrane,Q80XW9
http://smpdb.ca/pathways/#Protein/14858_Mitochondrion,D3YT81
http://smpdb.ca/pathways/#Protein/447_Mitochondrion,P50440
http://smpdb.ca/pathways/#Protein/7725_Peroxisome,
http://smpdb.ca/pathways/#Protein/15821_Cytoplasm,Q3SZP4
http://smpdb.ca/pathways/#Protein/5900_Cytosol,P06720
http://smpdb.ca/pathways/#Protein/15490_Cytoplasm,P97532
http://smpdb.ca/pathways/#Protein/12999_Cytosol,Q02FG6
http://smpdb.ca/pathways/#Protein/16624_Mitochondrial_Inner_Membrane,Q29457
http://smpdb.ca/pathways/#Protein/1862_Cell_Membrane,Q9UNQ0
http://smpdb.ca/pathways/#Protein/10523_Cytosol,P54114
http://smpdb.ca/pathways/#Protein/14888,P53596
http://smpdb.ca/pathways/#Protein/135_Mitochondrial_Inner_Membrane,O75489
http://smpdb.ca/pathways/#Protein/10537,P43623
http://smpdb.ca/pathways/#Protein/11602_Cytosol,Z0Z000
http://smpdb.ca/pathways/#Protein/12188_Inner_Membrane,A6V4E7
http://smpdb.ca/pathways/#Protein/10658_Cytosol,P36148
http://smpdb.ca/pathways/#Protein/17083_Mitochondrial_Matrix,Q63895
http://smpdb.ca/pathways/#Protein/19564_Extracellular_Space,G3N342
http://smpdb.ca/pathways/#Protein/13068,A6V3T3
http://smpdb.ca/pathways/#Protein/1948_Cell_Membrane,P41231
http://smpdb.ca/pathways/#Protein/5976,P0A6A3
http://smpdb.ca/pathways/#Protein/Generic16_Mitochondrial_Matrix,
http://smpdb.ca/pathways/#Protein/17266_Endoplasmic_Reticulum,Q5E9H7
http://smpdb.ca/pathways/#Protein/5941,P08200
http://smpdb.ca/pathways/#Protein/15579_Cytoplasm,Q9VTI0
http://smpdb.ca/pathways/#Protein/447_Mitochondrial_Matrix,P50440
http://smpdb.ca/pathways/#Protein/5922,P07118
http://smpdb.ca/pathways/#Protein/13001_Cytosol,A6UX80
http://smpdb.ca/pathways/#Protein/11274_Mitochondrial_Inner_Membrane,N1NWI7
http://smpdb.ca/pathways/#Protein/17484_Cytosol,Q6P7S5
http://smpdb.ca/pathways/#Protein/13722_Cytosol,Q99LS3
http://smpdb.ca/pathways/#Protein/1601_Cell_Membrane,P63092
http://smpdb.ca/pathways/#Protein/16785_Cytosol,P11232
http://smpdb.ca/pathways/#Protein/14629_Cytoplasm,Q4V7C6
http://smpdb.ca/pathways/#Protein/5996,P0A6J5
http://smpdb.ca/pathways/#Protein/11862,Q7X5N2
http://smpdb.ca/pathways/#Protein/11475_Cytosol,Q9CA40
http://smpdb.ca/pathways/#Protein/15131_Endoplasmic_Reticulum,Q20303
http://smpdb.ca/pathways/#Protein/5897,P06709
http://smpdb.ca/pathways/#Protein/11949,B7V5R4
http://smpdb.ca/pathways/#Protein/17308_Cell_Membrane,Q08DA1
http://smpdb.ca/pathways/#Protein/1494_Cytosol,P49247
http://smpdb.ca/pathways/#Protein/19695_Cytosol,P67999
http://smpdb.ca/pathways/#Protein/17038_Cell_Membrane,Q9TZI1
http://smpdb.ca/pathways/#Protein/19616_Cytosol,Q6RUV5
http://smpdb.ca/pathways/#Protein/20767_Cytoplasm,P26452
http://smpdb.ca/pathways/#Protein/5994_Cytosol,P0A6I9
http://smpdb.ca/pathways/#Protein/2241,P43005
http://smpdb.ca/pathways/#Protein/7446,P02930
http://smpdb.ca/pathways/#Protein/19503_Cell_Membrane,A7YWD1
http://smpdb.ca/pathways/#Protein/16827_Cytosol,Q0VC59
http://smpdb.ca/pathways/#Protein/13913_Mitochondrial_Intermembrane_Space,P05202
http://smpdb.ca/pathways/#Protein/17711_Mitochondrion,G3V7B6
http://smpdb.ca/pathways/#Protein/21015_Cytoplasm,Q7TQD0
http://smpdb.ca/pathways/#Protein/20954,Q5U300
http://smpdb.ca/pathways/#Protein/Generic174,
http://smpdb.ca/pathways/#Protein/14671_Nucleus,Q01094
http://smpdb.ca/pathways/#Protein/15676_Cytosol,Q3ZCB1
http://smpdb.ca/pathways/#Protein/16733_Cytoplasm,D3ZLZ7
http://smpdb.ca/pathways/#Protein/15366_Cell_Membrane,Q5R1T5
http://smpdb.ca/pathways/#Protein/6401,P21829
http://smpdb.ca/pathways/#Protein/910_Cytoplasm,P09917
http://smpdb.ca/pathways/#Protein/7590,P08401
http://smpdb.ca/pathways/#Protein/22682_Cytosol,Q9H2A2
http://smpdb.ca/pathways/#Protein/603_Cytoplasm,Q08499
http://smpdb.ca/pathways/#Protein/22043,Q8R586
http://smpdb.ca/pathways/#Protein/14796_Cytoplasm,Q68FT9
http://smpdb.ca/pathways/#Protein/11589_Cytosol,Q9ZUX7
http://smpdb.ca/pathways/#Protein/22095_Cell_Membrane,Q9GL66
http://smpdb.ca/pathways/#Protein/13565_Chloroplast,Q84VZ1
http://smpdb.ca/pathways/#Protein/19549_Cell_Membrane,P79393
http://smpdb.ca/pathways/#Protein/19970_Cytoplasm,P63321
http://smpdb.ca/pathways/#Protein/14860_Mitochondrial_Matrix,F1N206
http://smpdb.ca/pathways/#Protein/2033_Cytoplasm,O00206
