entity,entityName
http://smpdb.ca/pathways/#Protein/2275_Extracellular_Space,Extracellular superoxide dismutase [Cu-Zn]
http://smpdb.ca/pathways/#Protein/4632_Cell_Membrane,Dual specificity mitogen-activated protein kinase kinase 2
http://smpdb.ca/pathways/#Protein/1844,5-hydroxytryptamine receptor 4
http://smpdb.ca/pathways/#Protein/19624_Cytosol,Mitogen-activated protein kinase 14
http://smpdb.ca/pathways/#Protein/15264_Mitochondrial_Matrix,Aminomethyltransferase
http://smpdb.ca/pathways/#Protein/14736_Endoplasmic_Reticulum_Membrane,Diacylglycerol O-acyltransferase 1
http://smpdb.ca/pathways/#Protein/116,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial"
http://smpdb.ca/pathways/#Protein/15320_Mitochondrial_Matrix,"Ornithine carbamoyltransferase, mitochondrial"
http://smpdb.ca/pathways/#Protein/13606_Mitochondrion,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
http://smpdb.ca/pathways/#Protein/16940_Mitochondrion,"5-aminolevulinate synthase, nonspecific, mitochondrial"
http://smpdb.ca/pathways/#Protein/19552_Cytoplasm,"Myosin light chain kinase, smooth muscle"
http://smpdb.ca/pathways/#Protein/22038_Cytoplasm,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
http://smpdb.ca/pathways/#Protein/13679_Cytosol,Alpha-aminoadipic semialdehyde dehydrogenase
http://smpdb.ca/pathways/#Protein/22019_Cytoplasm,Signal transducer and activator of transcription 5B
http://smpdb.ca/pathways/#Protein/10926,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20
http://smpdb.ca/pathways/#Protein/1353_Cytoplasm,Tyrosine-protein kinase SYK
http://smpdb.ca/pathways/#Protein/22955,Lactose operon repressor
http://smpdb.ca/pathways/#Protein/21922_Cytoplasm,Signal transducer and activator of transcription 3
http://smpdb.ca/pathways/#Protein/10649,glycerol 3-phosphatase 1
http://smpdb.ca/pathways/#Protein/11802_Cytosol,6-phosphofructokinase 1
