S39AA	abstraction:ControlsTransportOfChemical	zinc, ion (Zn2+)
S26A4	abstraction:ControlsTransportOfChemical	I(-)
ZNT8	abstraction:ControlsTransportOfChemical	H+
Q69HW3	abstraction:ControlsTransportOfChemical	H+
STRC	abstraction:ControlsTransportOfChemical	K(+)
VMAT2	abstraction:ControlsTransportOfChemical	serotonin cation
SC5A7	abstraction:ControlsTransportOfChemical	Chlorine anion
STAR7	abstraction:ControlsTransportOfChemical	ubiquinol-10
OSBP1	abstraction:ControlsTransportOfChemical	PtdIns4P
EMC4	abstraction:ControlsTransportOfChemical	1-D-phosphatidyl-L-serine
S45A3	abstraction:ControlsTransportOfChemical	Dextrose
Q9Y5Y0-1	abstraction:ControlsTransportOfChemical	heme b
OSBP1	abstraction:ControlsTransportOfChemical	5-Cholestene-3beta,25-diol
ABCD1	abstraction:ControlsTransportOfChemical	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-coenzyme A(4-)
RHAG	abstraction:ControlsTransportOfChemical	ammonium
S39A5	abstraction:ControlsTransportOfChemical	zinc, ion (Zn2+)
S36A2	abstraction:ControlsTransportOfChemical	H+
NCLX	abstraction:ControlsTransportOfChemical	lithium cation
RHAG	abstraction:ControlsTransportOfChemical	R-744
SC6A7	abstraction:ControlsTransportOfChemical	Chlorine anion
SATT	abstraction:ControlsTransportOfChemical	sodium(1+)
CFTR	abstraction:ControlsTransportOfChemical	Chlorine anion
S2611	abstraction:ControlsTransportOfChemical	Sulfate anion(2-)
SORCN	abstraction:ControlsTransportOfChemical	sodium(1+)
ATP7B	abstraction:ControlsTransportOfChemical	copper(1+) ion
S38A3	abstraction:ControlsTransportOfChemical	sodium(1+)
PCFT	abstraction:ControlsTransportOfChemical	H+
CPTP	abstraction:ControlsTransportOfChemical	N-(acyl)-sphing-4-enine-1-phosphate
S35D2	abstraction:ControlsTransportOfChemical	UDP-N-acetyl-alpha-D-glucosamine
GTR5	abstraction:ControlsTransportOfChemical	Laevulose
S35D2	abstraction:ControlsTransportOfChemical	GDP-alpha-D-mannose dianion
S22AC	abstraction:ControlsTransportOfChemical	Urate
S35A2	abstraction:ControlsTransportOfChemical	uridine 5'-phosphate
S6A12	abstraction:ControlsTransportOfChemical	sodium(1+)
NPT2C	abstraction:ControlsTransportOfChemical	hydrogen phosphate
SL9A9	abstraction:ControlsTransportOfChemical	sodium(1+)
SL9C1	abstraction:ControlsTransportOfChemical	sodium(1+)
S38A1	abstraction:ControlsTransportOfChemical	(2S)-5-amino-2-ammonio-5-oxopentanoate
S67A1	abstraction:ControlsTransportOfChemical	H+
S28A2	abstraction:ControlsTransportOfChemical	sodium(1+)
PM34	abstraction:ControlsTransportOfChemical	atp
S12A3	abstraction:ControlsTransportOfChemical	Chlorine anion
S13A3	abstraction:ControlsTransportOfChemical	sodium(1+)
SC5A7	abstraction:ControlsTransportOfChemical	sodium(1+)
ANO1	abstraction:ControlsTransportOfChemical	Chlorine anion
ABCD1	abstraction:ControlsTransportOfChemical	6Z,9Z,12Z,15Z,18Z,21Z-Tetracosahexaenoyl-CoA
MYCT	abstraction:ControlsTransportOfChemical	D-myo-Inositol
SARCO	abstraction:ControlsTransportOfChemical	calcium(II) cation
CABP1	abstraction:ControlsTransportOfChemical	calcium(II) cation
SC5A9	abstraction:ControlsTransportOfChemical	sodium(1+)
MRS2	abstraction:ControlsTransportOfChemical	Mg2+
S19A1	abstraction:ControlsTransportOfChemical	(2S)-2-{[4-({[(6S)-2-amino-5-methyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]amino}pentanedioate
PRAF3	abstraction:ControlsTransportOfChemical	L-glutamate
S36A4	abstraction:ControlsTransportOfChemical	L-proline
SAMC	abstraction:ControlsTransportOfChemical	S-adenosyl-L-methionine
S6A20	abstraction:ControlsTransportOfChemical	sodium(1+)
S13A4	abstraction:ControlsTransportOfChemical	Sulfate anion(2-)
SO1B3	abstraction:ControlsTransportOfChemical	bilirubin dianion
SC5AB	abstraction:ControlsTransportOfChemical	sodium(1+)
DIC	abstraction:ControlsTransportOfChemical	(2S)-2-hydroxybutanedioate
S38A2	abstraction:ControlsTransportOfChemical	(2S)-5-amino-2-ammonio-5-oxopentanoate
NPCL1	abstraction:ControlsTransportOfChemical	CHEBI:26125
SC6A7	abstraction:ControlsTransportOfChemical	sodium(1+)
S2551	abstraction:ControlsTransportOfChemical	NAD(+)
ADT1	abstraction:ControlsTransportOfChemical	H+
NCLX	abstraction:ControlsTransportOfChemical	calcium(II) cation
ABCA5	abstraction:ControlsTransportOfChemical	CHOLESTEROL
COPT1	abstraction:ControlsTransportOfChemical	copper(1+) ion
